Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
PwrIn1,CR2450 Coin Cell,BatteryHolder_Keystone_3009_1x2450,133.985000,-93.345000,180.000000,bottom
,,,107.315000,-41.275000,0.000000,top
,,,156.845000,-41.275000,0.000000,top
BreakoutConnector1,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Horizontal,152.400000,-66.040000,180.000000,top
C1,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,150.495000,-86.360000,90.000000,top
C2,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,132.715000,-76.835000,-90.000000,top
C3,0.1uF,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,110.882574,-47.625000,90.000000,top
D1,D,D_SMA,124.460000,-78.740000,-90.000000,top
D2,LED,LED_0805_2012Metric_Castellated,105.410000,-76.835000,0.000000,top
D3,LED,LED_0805_2012Metric_Castellated,105.410000,-71.120000,0.000000,top
D4,LED,LED_0805_2012Metric_Castellated,105.410000,-64.135000,0.000000,top
DC_Converter1,LD1117S12TR_SOT223,SOT-223-3_TabPin2,143.510000,-76.200000,270.000000,top
Display1,128x64OLED,Adafruit_SSD1306,125.095000,-69.850000,0.000000,top
J1,SWD_Cable_Connector,PinHeader_2x05_P1.00mm_Vertical_SMD,158.115000,-75.565000,90.000000,top
J2,USB_B_Micro,USB_Micro-B_Wuerth_629105150521,157.053780,-86.993021,90.000000,top
Nav_Switch1,SKQUCAA010,SKQUCAA010,112.395000,-83.820000,-90.000000,top
R1,100,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,111.760000,-76.835000,0.000000,top
R2,100,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,111.760000,-71.120000,0.000000,top
R3,100,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,111.760000,-64.135000,0.000000,top
R4,10k,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,117.856000,-85.240000,180.000000,top
RESET_SW1,Push Button,SW_PUSH_6mm_H5mm,113.030000,-51.435000,-90.000000,top
RN1,R_Pack04,R_Array_Convex_4x0603,118.274000,-79.652000,90.000000,top
U1,DWM1001,DecaWave_DWM1001,132.080000,-55.245000,0.000000,top
